IP Address,marketplace,customer_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,timestamp
193.139.18.132,US,827710,B00WX28F0U,705016722,Vamo V2 Variable Voltage Mod Kit,Mobile_Electronics,5,0.0,0.0,N,N,nice,"great kit, excellent mod, easy to use.  if u want more vapor but do not want anything to complicated then this is the mod for u. and it comes with the best battery charger u can get. i would recommend this mod to anyone. great product.",2015-08-11,1439268611.0
206.143.150.184,US,1589122,B00VUG01OS,156994014,SMPL V2 Style 18650 Mechanical Mod,Mobile_Electronics,1,0.0,0.0,N,Y,I do not recommend.,broke after a week. i do not recommend.,2015-08-11,1439269026.0
201.222.78.199,US,40065935,B00I6DLIB8,313520251,MSI GTX 750 TI 2GB DDR5 OC 128Bit DVI-D/D-SUB/HDMI N750TI TF 2GD5/OC,Mobile_Electronics,5,1.0,1.0,N,Y,Definitely Recommend,"amazing video card.  put it in my sons hp envy 700-147c.  he is driving two monitors with it and huge difference.  he is able to turn on more features in gta.  there was another game that he couldn't even play it and now it works awesome.  i think this is a great video card for pc gaming.  if you are an extreme gamer and typically spend extra on every component, probably not for you. if you are on a budget (ie: hp envy 700), this card is awesome.<br /><br />card does not require additional power.  card is huge and you need to make sure you have room (full length card that is extra thick, ie: might not be able to have a card right next to it.",2015-08-11,1439273643.0
220.237.151.244,US,12555548,B00HRLCBRA,890570891,"Koomus Universal Headrest Mount Holder Cradle for tablets, iPad, iPad mini, Samsung Galaxy Tab, Galaxy Note 2, Note 3, Microsoft Surface",Mobile_Electronics,3,0.0,0.0,N,Y,Broke easily,great product but broke very easily within months of purchase,2015-08-11,1439276077.0
196.246.250.46,US,1451803,B00TDAY5ZE,178040687,IBELL 2Pcs of Baofeng BF-888s Two Way Radio Compatible Intercom with FRS/GMRS Motorola Uniden Midland etc Walkie Talkies,Mobile_Electronics,4,0.0,0.0,N,Y,"Great, Small, Affordable little two way Radios!",these are great! they are smaller that i originally though though. both of them do not make any sound when receiving above channel five but it gets the signal. i think it is a setting.,2015-08-11,1439278817.0
217.165.130.51,US,42953425,B00J0CYKEQ,503010924,Omaker bluetooth speaker,Mobile_Electronics,3,0.0,0.0,N,N,Three Stars,sound is a little muffled but otherwise bluetooth connects good.,2015-08-11,1439282721.0
193.168.88.23,US,45795966,B00W8D486Y,403873254,Klein 2-way Dual Band UHF/VHF Radio,Mobile_Electronics,1,1.0,2.0,N,N,2-Way Ripoff Base Station,this should be named the &#34;2-way ripoff base station&#34;.  do not fall for this scam.  it should cost no more than $50 and that's pushing it.,2015-08-11,1439283584.0
211.106.214.29,US,623982,B00DSOAMCG,472422628,Coodio NOOK Glowlight NOOK 5 and NOOK Simple Touch and NOOK Simple Touch with GlowLight Genuine Leather Cover Built-in Holder,Mobile_Electronics,5,0.0,0.0,N,Y,Perfect,i love the texture and the lightness,2015-08-11,1439283676.0
219.163.178.82,US,45980858,B00KW3XNUE,219920841,Magicfly Wireless RF Item Locator Key Finder 1 RF Transmitter and 6 Receivers,Mobile_Electronics,4,0.0,0.0,N,Y,"Works great, could be a little louder.","works very well, and only thing i think could be better is that it could be a little louder.",2015-08-11,1439288120.0
209.21.47.45,US,52164343,B00J46XO9U,744008282,"iXCC Lightning Cable 3ft, iPhone charger, for iPhone X, 8, 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified](Black and White)",Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,works great - good price.,2015-08-11,1439289349.0
223.82.240.229,US,16423371,B00VU7PXDG,973149575,[New Element Series] iXCC MicroUSB cables,Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,"great product at a great price. speedy delivery, as well.",2015-08-11,1439291077.0
212.225.195.226,US,9632064,B00WUN8I9A,100763722,"Idroidnation Imp yellow 16gb Mp3 Mp4 Player with 1.8"" LCD Screen Fm Radio, Video, Games",Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,i like the mp4 player,2015-08-11,1439292240.0
195.95.201.163,US,21878825,B00L1183TM,18568251,"NewerStone For 2007-2012 Toyota Tundra & Sequoia Car DVD Player with GPS Navigation System and Digital Touchscreen /with Install dash kit With Radio (AM/FM),iPod Interface,Bluetooth Hands Free,USB, AUX Input,USA Map,Plug & Play Installation,Rear Camera Included",Mobile_Electronics,2,0.0,0.0,N,N,"You get what you pay for so ""Caveat Emptor""","i have had this unit since 12/13 and it has never worked well.  backup camera doesn't work with reverse only in mode.  very slow to boot up and freezes regularly and you have to reset.  i keep hoping it will quit completely so i can justify buying another.  it is typical low cost chinese junk.  you get what you pay for so caveat emptor.  the gps isn't too bad when it works and the sound isn't horrible.  unless you speak chinese the customer service is not good.  it does fit my 2007 toyota tundra sr5 perfectly and looks like factory with the factory logo while it is booting up.  spend the few hundred dollars more and go with something better.  the ipod display is horrible as well and it will not come up with songs regardless of how your ipod is setup, mine is set to shuffle and i still have to pick, ipod then playlist then all songs then a song and only then will it shuffle.....very annoying.  the sd card works the best.  i am putting up with it since i don't use my truck very often and it is usually for short distances.",2015-08-11,1439293499.0
193.224.209.150,US,827710,B00WX2BSHM,495791635,Vamo V6 Variable Wattage VW APV Mod,Mobile_Electronics,4,0.0,0.0,N,N,Great mod,"i love the vamo series mods. they are easy and produce the perfect amount of vvapor.and u can set it to your perfect preference, whether u want a lot of vapor for a great throat hit or u prefer less for a smoother smoke. the only reason i gave only 4 stars is cause i prefer the vamo 's that r variable voltage and variable wattage.",2015-08-11,1439295742.0
205.97.5.185,US,35568703,B009FCGAQW,574403701,FreedomPoP Sleeve Rocket 4G Mobile Hotspot for iPod Touch 4th Gen,Mobile_Electronics,1,0.0,0.0,N,Y,Does Not work with iPod Touch 4th Generation.,listed as works with ipod touch 4th generation. it does not. very deceptive.,2015-08-11,1439296214.0
219.222.215.139,US,18744058,B011QWOE84,575190097,"Aweek® Solar Powered Cooling Car Fan Car Window Fan Auto Ventilator Cooler Air Vehicle Radiator With Rubber Stripping, A7",Mobile_Electronics,1,0.0,0.0,N,N,Don't buy!!!!,it is a pos. this manufacturer is trying to deceive customers. broke in a weeks time so i opened it and found this. it is a piece of cardboard made to look like a solar cell with a tiny unprotected cell taped on top.,2015-08-11,1439296378.0
215.242.174.223,US,9312568,B0125TAQUW,342310746,"Avalon Waterproof Wireless Bluetooth 3.0 Speaker with Suction cup and Bicycle Clip, Black",Mobile_Electronics,4,0.0,0.0,N,N,looking good durability. not bad sound,"looking good durability. not bad sound.<br /><br />pretty good connecting speed.<br /><br />stable hang on the bag.<br /><br />if, it had more light option it will be bett nice.<br />this look, is so dark and simple.<br /><br />i was provided a sample for review and i do not promise a good rating in return, nor am i affiliated with this company or compensated in any way. i am just a regular amazon customer who shops a lot on amazon.",2015-08-11,1439305625.0
217.174.28.77,US,15319447,B00LGNKLXG,409021390,Aweek® Car Antenna Mount Stainless Steel Car Clip Mount Trunk Lid Hatchback Mount Bracket RB-400 RB400 for Mobile vehicle Car Radio Car Two Way Radio Radio Antenna + 5M Antenna Cable,Mobile_Electronics,5,0.0,0.0,N,Y,Good Buy!,good price and quality exceeded what i expected.,2015-08-11,1439307564.0
216.182.28.42,US,13307798,B00LAG4HN4,536367292,"iXCC Element II Lightning Cable 6ft, iPhone Charger, for iPhone 7 6s 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified](White and Black)",Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,good buy,2015-08-11,1439313215.0
197.122.107.244,US,43572565,B009CRMABY,71624801,ZHOL® NEW Am-fm Hidden Windshield Antenna Car Radio Truck,Mobile_Electronics,1,0.0,1.0,N,Y,One Star,doesn't work. at all.,2015-08-11,1439313532.0
223.71.71.51,US,33357838,B001UIVV72,124900031,"iPod USB Travel Home Charger For Nano, Shuffle, 4G, Mini, Photo and U2",Mobile_Electronics,5,0.0,0.0,N,Y,Must have for shuffle owners,no more computer charging for my simple lil shuffle.,2015-08-11,1439316555.0
217.134.135.185,US,3105354,B00OKSR9XO,858057107,Sentey Ls-2215 4-port Black USB Wall Charger 30w,Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,awesome product,2015-08-12,1439321754.0
197.227.109.106,US,41167913,B003YIPLWC,147737925,American Covers Handstands Pina Colada Bahama Bag Scent Pouch 09710,Mobile_Electronics,3,0.0,0.0,N,Y,Three Stars,the scent does not last very long.,2015-08-12,1439322255.0
197.208.117.2,US,50106768,B012HXTM2O,500213672,"Lehris Bluetooth Speakers, Portable Wireless Bluetooth Speaker with FM Radio and Clock (red)",Mobile_Electronics,5,0.0,0.0,N,Y,Great sound,good looking product. great sound.,2015-08-12,1439322883.0
207.31.42.197,US,24372929,B00WE1YCR0,620791586,New Wayzon Mini Clip Metal USB MP3 Music Media Player With Micro TF/SD Card Slot Support 1-8GB + Earphone(Purple),Mobile_Electronics,3,0.0,0.0,N,Y,Three Stars,nice for price,2015-08-12,1439325135.0
195.7.223.217,US,13608929,B00W8D486Y,403873254,Klein 2-way Dual Band UHF/VHF Radio,Mobile_Electronics,3,0.0,2.0,N,N,"Cool idea, unreasonable price.","i know this is a baofeng uv5r in a base station enclosure.  however, it is neat, and i would find it very useful as a base station.  i wish this seller would offer it for around $40 or $50 which would be the fair price.<br /><br />for those barking about fcc, go chase your tail.",2015-08-12,1439332084.0
218.68.27.226,US,25097818,B00YZGQ0NQ,154712218,"Car GPS Navigation 7 Inch Touch Screen, Bluetooth, Windows Ce with Usa, Canada and Mexico Maps.",Mobile_Electronics,5,0.0,0.0,N,Y,Good Product,works well and just as described,2015-08-12,1439332441.0
212.244.188.228,US,7457887,B001JT5QHS,79613247,PLATINUM FUSED REPLACEMENT CIG. PLUG,Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,came really fast and worked really good for what i was using it for,2015-08-12,1439333274.0
196.57.170.181,US,16253935,B00MXTZUPQ,416329253,New Car Kit Beatles MP3 Player Wireless FM Transmitter Modulator Adapter With USB SD Slot MMC LCD + Remote For Smartphone (red),Mobile_Electronics,2,0.0,0.0,N,Y,You get what you pay for...cheap,"the display screen became unreadable as soon as the clear plastic 'protector' that you're supposed to remove was taken off. there are no instructions. the remove is complete rubbish.  but if you have it tuned to a specific station and plug the macks in, it will play over your stereo. so that part does work and for as cheap as this thing is, you get what you pay for.",2015-08-12,1439335715.0
196.35.29.47,US,7724053,B00ZJAAM72,346689759,"Best Apple Watch Charging Stand for 38mm and 42mm from ZIVACHI, Highest Quality, Lightweight and Portable, for Home and Office, Non Slip Surface and Bottom. Protection from Scratching. (Black)",Mobile_Electronics,5,0.0,0.0,N,N,Durable and fun....,i bought this as a gift for a friend and she loves it. she says it does exactly what you want it to.  it is durable and fun also.  her watch looks like it was a great burden looks great when you wear it. i wish i had an apple watch also.,2015-08-12,1439336064.0
214.103.103.91,US,10169084,B00MYY7GD4,144636167,Wenger Urban Classic Mens Watch 01.1041.110,Mobile_Electronics,4,4.0,4.0,N,Y,Beautiful watch. A little large for my wrist,"beautiful watch.  a little large for my wrist, but still a good looking timepiece.",2015-08-12,1439339691.0
194.120.225.230,US,20754832,B0126LLXGA,490339933,"Outdoor Bluetooth Speaker, Arespark Portable Bluetooth 4.0 Speaker with 7w High-def Sound, 12 Hours Playtime",Mobile_Electronics,5,0.0,0.0,N,Y,Outstanding Bluetooth Speaker!!!!!,"i love this waterproof bluetooth speaker, it was simple to connect and the sound is wonderful!  this product is loud and has a lot of bass!  i am very impressed in this little speaker and the power and great clear sound that comes out of it!  this product also has a wonderful feature that took me by surprise as most speakers like this do not have this feature;  this product can be played as a bluetooth speak but also as an mp3 player if you use the micro sd card slot!  i found the bluetooth speaker for me in this product!<br />i received this product at a reduced price for my honest review!<br />wonderful product!!!!",2015-08-12,1439344682.0
192.221.46.4,US,23774965,B00LAG4HN4,536367292,"iXCC Element II Lightning Cable 6ft, iPhone Charger, for iPhone 7 6s 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified](White and Black)",Mobile_Electronics,5,0.0,0.0,N,Y,Works great!,works great and exactly as it should.,2015-08-12,1439345787.0
206.168.214.188,US,43354225,B00QJL2TF8,547623891,Memorex Personal CD Player System with LCD Display 60-Second Anti Skip and Ear-Buds- Easy-to-open Packaging,Mobile_Electronics,2,4.0,4.0,N,Y,Writing on mode feature WAY too small,"it is really hard to find a personal cd player that works well.  this one will skip very easily (even if sitting on a flat surface) so it is not very portable.  i think something on the mode button makes it do things i don't want but the writing on the mode display is so small, it is nearly invisible. that is my biggest complaint because i think it would work better if i could adjust it. there must not be many of us who want to listen to cd's without downloading them to a device or they would make a better choice of personal players. i love to listen to books on cd while walking or gardening. i think this player has brought me more aggravation than pleasure.  i bought it in march and it still works (kind of) but i think it has lasted so long, because most of the time, it doesn't play satisfactorily and i give up in frustration.",2015-08-12,1439346345.0
194.239.104.152,US,2048106,B007LVIF8K,77346165,"Purple Argyle Pattern Flexible TPU Case for Apple iPod Touch 2G, 3G (2nd and 3rd Generation)",Mobile_Electronics,5,0.0,0.0,N,N,Five Stars,love pattern,2015-08-12,1439347622.0
202.207.168.193,US,14555149,B00M644CKC,980752489,"Mgotu MINI Drilling Waterproof Flush Mount CCD Car Rear view Back Up Reverse Parking Camera For SUV MPV TRUCK(18.5 mm), With Guide Lines",Mobile_Electronics,4,1.0,1.0,N,N,This is a nice backup camera,"this is a nice backup camera, especially for the price. the camera just has to be hooked to a monitor or a tv and a 12v power source and it will you'll be able to use it. as for the clarity of the picture, it's decent. it's a vga-quality picture. in low light, there's not much visibility, and with no light, you can't see a thing! inside the box, the company includes a drill bit for you to drill out the hole for the camera. nice little perk! even if you can't do any wiring in your car, you can still rig this up and mount it, and use a 12v car adapter for it. i received this product at a discounted price in exchange for an honest and unbiased review.",2015-08-12,1439351406.0
192.107.228.219,US,1220627,B00TDAY5ZE,178040687,IBELL 2Pcs of Baofeng BF-888s Two Way Radio Compatible Intercom with FRS/GMRS Motorola Uniden Midland etc Walkie Talkies,Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,great,2015-08-12,1439352690.0
200.238.63.213,US,39555933,B00ACBK6YC,941793635,"Portable Boombox, Speakers, MP3 Player, FM Radio, EZnSimple, Unique easy to use Wireless Remote for folder selection, plays from USB or SD Card, 1000 mAH Re-chargeable Li-ion Battery, Emergency LED light - Works with iPad/iPod/iPhone/Android Devices (Supports MP3/WMA/WAV files)",Mobile_Electronics,2,0.0,0.0,N,N,Battery does not charge,do not buy. the battery on my unit does not charge at all.i am forced to use the dc input all the time. emails to cust service has not got any answer,2015-08-12,1439354270.0
215.143.203.164,US,50894691,B00H4IUEJI,978384940,Generic WY-A1 Universal GPS Speedometer with Over Speed Warning,Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,"works great, exactly what i wanted. delivery was speedy. only problem was instructions were hard to understand.",2015-08-12,1439356429.0
211.167.66.251,US,12086648,B008GQ09JW,324893709,USB SD DVD MP3 FM Car Motorcycl Amplifier 20W+20W Remote Control Digital Display Blue,Mobile_Electronics,5,0.0,0.0,N,Y,Great AMMO can  Amp and Service,great for ammo can project.. amp gets a little warm..one thing that i like about this over the other fm radio is it has a display some do not have a display it just seek search,2015-08-12,1439357413.0
217.141.106.115,US,978380,B00UYRZIJ2,518986196,iphone 6 cable,Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,it's durable. i hope i can use this for a long time.,2015-08-12,1439359419.0
208.213.98.20,US,1157410,B008RV3DEY,371839803,New Uncut Blank Transponder Ignition Key for Toyota Avalon Camry Corolla Rav4 Tundra Yaris Matrix Solara (Chip #4d-67),Mobile_Electronics,2,0.0,0.0,N,Y,its great!,the thing is that no one will cut it because of liability. if they program it wrong and it is not their key...its your loss. so think twice about saving money. if you buy it and don't program it and use it just to open the door...its great!,2015-08-12,1439361732.0
192.11.213.135,US,50559199,B00LWGFL6O,159443370,Silver Sport Bracelet Band Betty Boop Marilyn Monroe Tribute Ladies Watch,Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,good watch,2015-08-12,1439363808.0
217.53.233.14,US,46974090,B00HK6CPVY,383636318,"Szstudio US 5"" Car GPS Navigation Sat Nav Built-in 4GB 64MB RAM WinCE 6.0 --US gap",Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,great item,2015-08-12,1439363836.0
211.196.181.90,US,26216272,B00KW3XNUE,219920841,Magicfly Wireless RF Item Locator Key Finder 1 RF Transmitter and 6 Receivers,Mobile_Electronics,5,0.0,0.0,N,Y,so it would be nice if there was a locator for the transmitter on ...,"purchased this product six months ago, and it has been a life savor for my mother. the only issue she has ever had is with misplacing the transmitter, so it would be nice if there was a locator for the transmitter on the base.",2015-08-12,1439368368.0
214.27.4.190,US,41860765,B00Y2100OO,161663398,LiteXim All in One Large Touch Screen Hands Free Digital Mp3/Mp4 Music Player Music/Audio/FM radio & Micro SD Card (Black),Mobile_Electronics,4,3.0,3.0,N,N,The best part is the low price.,"this is an mp3 player with a back clip that does a good job of playing songs but the sound quality is average. not surprising given the low price. the included earphones are really cheap so you have to use your own. this little mp3 player needs a micro sd card to work as the resident memory is just for the operating software. it plays songs and other videos just like any other mp3 player.<br /><br />the touch screen does work ok. for the under $10 price it's still a good value, especially if you just want to load up a few songs to gift someone. there is also a usb cable included to charge this little player. i would recommend also as a mp3 player for walks and exercising as the clip is strong and attaches easily to clothing.<br />[received free or discounted product to test for a candid review]",2015-08-12,1439369298.0
219.235.134.190,US,37900915,B00MFM89XQ,686355048,"Lumsing&reg; Portable Wireless Bluetooth Speaker with NFC Built-in Microphone, Powerful Sound Rechargeable Battery up to 1 Day Playtime",Mobile_Electronics,4,0.0,0.0,N,Y,Excellent portable speaker,i was quite surprised at the quality of the sound that was coming from this small speaker.  it's not a high end home stereo system but for something that's portable it's quite good.  the battery life is as advertised and it connects quickly to my iphone.  streaming music is hardly interrupted.  my only criticism is that there's a bit of a delay when using it to answer your calls.<br /><br />overall it was a great buy and i recommend it.,2015-08-12,1439370628.0
219.60.237.179,US,37791118,B010FIVM0I,67184271,"GJT®2.7"" Full HD 1080P DV Car Camera K6000 DVR Camcorder Video Recorder with Night Vision",Mobile_Electronics,5,7.0,7.0,N,Y,Nice simple inexpensive camera with great video.,"[[videoid:fc39bfebf09db0a63f5ba833cc8c7f32]] i purchased this camera this week.  i have a car camera in every vehicle our family owns and each camera is different based on what was available at the time.  i have only had one wreck.  it was at a four way stop and i stopped and was turning left.  the vehicle coming the opposite way was approaching his stop sign as i was going through.  he ran through his stop and hit my rear quarter panel.  know what he said when the cop arrived.  he said i ran the stop sign.  you should have seen the look on the guys face when i told the officer that i had a car camera.  case closed.<br /><br />anyway.  i have learned to buy simple inexpensive car cameras.  i dont need gps or g sensors.  i do not like g sensors because any vibration in the car or camera mount can alert the g sensor and it will lock the file.  if that happens enough then your sd car fills up with locked files that will not be overwritten like normal files.  that can stop all recording until you erase the locked files.  the description says the camera has a g sensor but it does not. also, the leds for night driving are not automatic and there are only two leds. they have to be turned on manually.  now if you have had cameras with the leds for night driving then you know they are pretty worthless because they do not shine enough to illuminate anything more than a few feet in front of the camera which is not helpfull for video at night.  your headlights provide the illumination.  in my experience most of these cameras are ok at night but you will not be able to read words or license plates.<br /><br />the setup is easy on the camera and the instructions understandable.  i recorded a clip at 720x480 which is one less than the highest resolution the camera offers.  you judge for yourself.<br /><br />i do not know how long the camera will last but i will update if it stops working.  also dont turn motion sensitivity on unless you need it.  with it off the camera operates like a normal car cam.  it turns on and starts recording when you start the car and then turns off a few seconds after you turn the ignition off.",2015-08-12,1439374441.0
206.202.73.136,US,10315725,B00J46XO9U,744008282,"iXCC Lightning Cable 3ft, iPhone charger, for iPhone X, 8, 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad mini 2 3 4, iPad 4th Gen [Apple MFi Certified](Black and White)",Mobile_Electronics,3,0.0,0.0,N,Y,Great for a few months - then it broke!,"received in the beginning of may, and used these cables constantly with no problem. however, by july, they started to stop working (had to giggle the cord to get my phone charged, plugging and replugging, etc.), and then eventually they didn't work at all. it would be great to find a charging cord that lasted more than a few months!",2015-08-12,1439376762.0
201.197.87.66,US,40162535,B00MUL0NU4,123434030,Lanzar Opti-Drive Pro Series 8-Inch 1200 Watt Coaxial Full Range 4 Ohm Subwoofer Speaker,Mobile_Electronics,5,1.0,1.0,N,Y,Five Stars,was just what we we needed,2015-08-12,1439377375.0
220.98.200.236,US,8058639,B00ZV7AWJQ,529948796,"Table Accessory Bundle. 7.0"" Bundle Includes 16 GB Micro SD Memory Card, Noise Isolation In Ear Earbuds, 10"" Sleeve for Tablets, Universal Touch Screen Stylus Pen, and 3pc. Cleaning Kit.",Mobile_Electronics,5,0.0,0.0,N,Y,Five Stars,excellent,2015-08-12,1439378515.0
